45871,43567,40495,39983,36143,30511,33839,36911,38447,34607,34863,28975,32047,32303,37423,36143,35375,37423,31535,30511,26159,29743,32815,35119,44591,42543,47151,42287,43567,47151,41519,36399,39983,38447,39215,42543,39471,35375,33583,35631,36143,39727,40751,42543,47151,41519,27183,26927,26671,30767,6448,5936,17200,52271,44847,42031,48431,49967,23600,10291,11315,4659,6705,44079,46895,44079,49967,1843,43316,39220,6963,46383,43567,54575,64815,1075,7219,563,45104,28207,29999,27183,25135,23855,22831,18479,18223,17967,12079,12335,12335,14127,15663,10543,5423,303,59950,58670,56110,61998,64302,65326,63278,57134,46638,28974,23342,16942,13102,5166,4910,2094,65325,62253,65325,65325,59437,57133,60717,59181
44079,41263,42031,35119,35887,32815,31023,31023,29487,36911,29999,26159,26415,29999,33327,33071,35887,30511,28975,31535,24111,30767,30255,32047,40239,41263,41775,39471,39983,39471,36655,32047,35631,39983,39215,38447,34607,33071,34863,37935,32047,40495,44591,44847,48687,41263,33071,29999,32047,34863,48,12592,12848,47407,37679,45103,48687,48431,56880,13107,11827,7475,20272,48943,45615,49711,4400,11828,48948,49204,47153,43567,47151,54063,32304,10547,12851,62770,10032,30511,29231,28463,25647,25391,24367,14895,16431,18735,12079,11311,11823,13871,12847,9007,6447,65070,58926,59182,59438,64814,3119,62254,57902,50990,37422,23854,14894,4910,8238,7982,65325,63277,64813,558,62765,59693,63021,57645,57389,58157
44335,39727,38447,37935,30255,28207,32815,32303,30511,33071,27695,24879,26671,28719,31535,32047,36655,31023,30255,27439,26671,25135,29231,35375,39983,42543,39471,31279,27695,31023,32815,35631,34351,38959,39471,39983,35119,36911,34351,32047,36143,38703,45615,53551,51759,50991,47919,37935,33071,43567,2352,11568,13104,39727,39983,43055,50735,18736,62257,16947,14131,64562,816,44335,45359,44079,22320,54836,1845,53812,30512,40495,49455,61487,51760,21555,15923,58930,50991,31023,29743,24623,24367,23855,20783,17967,17199,16687,12847,12591,12335,7727,9519,10543,4911,1583,62510,58414,63022,62254,65326,47,56622,42030,30510,14126,13102,10798,814,1582,814,65325,61229,59949,63789,63277,56109,57645,60461,60205
40751,42543,41007,32559,31279,32303,32047,35631,34095,34095,28975,28207,28463,27439,32815,32303,33327,32047,31535,28207,27695,26159,32047,33583,43055,38191,39727,29743,35375,30767,32559,31535,31279,39983,37935,38959,33839,32559,28207,33327,34863,41775,45871,50735,51247,52527,50223,40495,40751,51759,62767,9520,5680,33071,37167,41775,50735,48944,12850,45362,8499,64050,57903,48431,49455,1840,44849,16693,17461,50740,11312,45103,51247,61231,24625,19251,19251,60722,46127,28463,25391,22319,21807,22575,25647,21807,17199,13359,18479,12847,14127,12335,10799,11823,9263,4143,62766,61998,303,60462,62254,61998,44590,36654,23854,11054,9006,8238,4910,3374,4142,61229,61997,61997,61229,62509,61997,57645,59949,56109
38191,35887,30255,31023,31023,31791,29743,32559,37423,31535,32303,28463,25647,25647,25647,29999,32303,33583,29999,26927,30511,32047,26927,28975,32815,38959,33583,28975,29743,30255,34607,33839,33327,38959,37679,38191,30767,28207,29231,34095,35119,39727,41519,52271,48687,40495,38703,43823,40239,51759,58927,2352,3120,32559,40751,41007,50991,53296,25906,52786,11827,64306,60463,48687,53039,63536,16436,13877,21301,56628,10288,50223,54575,9520,51506,9523,6963,47666,5680,31791,23599,20783,24879,25647,21551,16687,15919,15919,14383,15151,16175,13103,17967,10287,9007,6703,2607,1071,60462,64814,59950,53038,43310,30510,17198,10542,9262,4654,3886,3630,64557,46,63533,1582,59181,62765,62253,60205,54829,55597
37935,34095,33327,33071,27439,29999,28719,31023,36143,31791,27695,29743,23855,19503,25391,26671,24879,24367,28975,33327,25903,27695,32815,33071,31279,34095,32047,32815,29231,33583,32559,29743,29487,33839,38959,35119,31023,34095,33071,35887,34351,36655,41263,43567,45615,35119,32815,38703,45615,55599,59439,3120,2864,30767,36143,38191,52527,64048,47154,1331,18739,7219,57391,52783,55599,4657,48436,11317,25141,57140,11824,52271,54575,23856,10291,10803,64562,39218,15920,30511,28975,27439,26671,25391,23087,21551,15407,11823,14639,16687,12335,14895,15919,13871,10799,2095,2351,65326,63278,62766,56110,45358,37678,19246,15406,9262,9518,6446,8494,814,65325,2094,63533,60973,61741,61997,59437,55341,59693,53805
33839,32047,31791,28207,27439,25391,23855,26415,27183,31535,26415,25135,25135,20783,21807,21551,23087,25647,26927,26415,28719,25903,29231,32559,30255,32303,28463,28975,30255,29743,30255,32559,31535,36911,39727,37167,35631,33327,32303,34863,39727,41007,46383,43823,43567,35375,33071,35119,48431,64815,63023,8496,11056,37167,33071,45103,52271,57648,64818,27187,39731,7731,64815,56367,60719,32305,6453,23861,31029,63284,18992,57903,57391,34352,20275,20275,4659,43570,8240,27951,33071,31279,28719,29999,25903,19247,15407,13359,15407,16175,14895,13103,15407,11823,8239,2607,64046,61998,54830,50734,48942,38446,21294,21294,10030,10030,3630,6702,5934,4398,65069,63533,62509,61741,61485,60973,59181,55341,60461,57133
31023,27183,27183,26671,22319,22063,23599,25903,29743,32047,28975,25135,22831,18479,22575,17711,23599,23087,26415,27695,24111,26927,29999,33071,32047,34351,30255,27439,27695,30255,31023,34607,35375,39215,39215,36399,33839,29231,29999,37935,39471,41263,43055,50479,45103,34351,30511,33327,59951,3888,6704,18224,16176,36655,40239,41007,43823,304,4403,57651,59443,55345,64559,62511,3120,41777,39477,50485,50741,7989,16432,62767,1072,55344,40755,33075,12595,59698,4656,38703,32047,27951,28975,26159,23087,20783,23087,17199,15407,14639,12847,12847,14895,13615,4911,1839,59694,56366,47662,45358,32814,26670,19502,15406,9774,7470,12078,4654,2862,4142,3374,61229,63533,62509,62765,59437,58925,56621,59693,57389
26415,31535,25903,24879,24111,23343,23599,28463,29999,25391,32047,21295,21039,22319,21551,20527,22831,19503,21295,18223,23343,25647,24879,33071,31535,32559,32303,29999,22831,26671,29231,27951,36399,36655,36143,37935,31279,36399,34095,36143,41263,49967,43823,42287,43055,40239,33839,42543,48943,11056,16944,17712,63023,46639,46639,53807,58159,64815,63025,12595,28723,52016,25648,29744,38704,20017,28981,50229,58165,5684,26928,31536,56368,16177,20531,7219,54834,29234,48432,41264,16688,30767,31535,29487,25135,21807,17455,17455,20783,19759,20527,12335,10543,11567,3631,63534,56366,49710,44846,37422,26158,22062,14638,12846,5934,6190,6702,6702,9518,3886,1070,62253,61485,57645,58925,558,58157,60717,56109,57133
23599,24367,23599,21295,17967,17711,21807,21039,23087,24111,26159,18479,18991,16943,15919,17967,13103,14127,17967,19759,16943,22063,23087,22831,22063,19759,22319,26159,20527,27695,25647,27951,28975,25903,25391,32559,25135,31535,33071,34351,36911,38447,37679,38959,42543,43055,47407,47151,54319,64815,9008,14384,20528,27952,35120,14385,26417,27185,50737,32818,33074,39218,43058,64562,1843,1075,2611,5683,7987,65074,61234,58418,48946,36146,26930,7218,59441,46897,36913,35633,13617,35119,33327,28207,24111,24367,22831,20527,19247,15919,13103,15919,13871,7471,64302,58926,52270,38702,32046,22574,23342,15406,13614,10798,8238,7470,4142,6702,2094,4910,558,62765,60205,59437,63789,57901,60205,58669,57901,55597
